id,project_id,keyword
811,180,quantitative assessment
812,180,knowing and doing
813,180,higher education
814,180,library and information science
815,180,information literacy quantitative assessment knowing and doing higher education library and information science
816,181,Other
817,181,psychometric tests
818,181,Simultation Design Scale
819,181,Questionaries
820,181,Nursing
821,181,Nursing not elsewhere classified
822,181,psychometric tests Simultation Design Scale Questionaries Nursing Nursing not elsewhere classified
823,182,Other
824,182,psychometric tests
825,182,Simultation Design Scale
826,182,Questionaries
827,182,Nursing
828,182,Nursing not elsewhere classified
829,182,psychometric tests Simultation Design Scale Questionaries Nursing Nursing not elsewhere classified
830,183,Other
831,183,psychometric tests
832,183,Simultation Design Scale
833,183,Questionaries
834,183,Nursing
835,183,Nursing not elsewhere classified
836,183,psychometric tests Simultation Design Scale Questionaries Nursing Nursing not elsewhere classified
837,184,Medicine
838,184,Health and Life Sciences
839,184,Health care professionals
840,184,Health care students
841,184,Virtual reality
842,184,Training
843,184,Mental health
844,184,Knowledge
845,184,Skills
846,184,Attitudes
847,184,Health care professionals Health care students Virtual reality Training Mental health Knowledge Skills Attitudes
848,185,Medicine
849,185,Health and Life Sciences
850,185,Health care professionals
851,185,Health care students
852,185,Virtual reality
853,185,Training
854,185,Mental health
855,185,Knowledge
856,185,Skills
857,185,Attitudes
858,185,Health care professionals Health care students Virtual reality Training Mental health Knowledge Skills Attitudes
859,186,Medicine
860,186,Health and Life Sciences
861,186,Health care professionals
862,186,Health care students
863,186,Virtual reality
864,186,Training
865,186,Mental health
866,186,Knowledge
867,186,Skills
868,186,Attitudes
869,186,Health care professionals Health care students Virtual reality Training Mental health Knowledge Skills Attitudes
870,187,Medicine
871,187,Health and Life Sciences
872,187,Health care professionals
873,187,Health care students
874,187,Virtual reality
875,187,Training
876,187,Mental health
877,187,Knowledge
878,187,Skills
879,187,Attitudes
880,187,Health care professionals Health care students Virtual reality Training Mental health Knowledge Skills Attitudes
881,188,Medicine
882,188,Health and Life Sciences
883,188,Health care professionals
884,188,Health care students
885,188,Virtual reality
886,188,Training
887,188,Mental health
888,188,Knowledge
889,188,Skills
890,188,Attitudes
891,188,Health care professionals Health care students Virtual reality Training Mental health Knowledge Skills Attitudes
892,189,Medicine
893,189,Health and Life Sciences
894,189,Health care professionals
895,189,Health care students
896,189,Virtual reality
897,189,Training
898,189,Mental health
899,189,Knowledge
900,189,Skills
901,189,Attitudes
902,189,Health care professionals Health care students Virtual reality Training Mental health Knowledge Skills Attitudes
903,190,Medicine
904,190,Health and Life Sciences
905,190,Health care professionals
906,190,Health care students
907,190,Virtual reality
908,190,Training
909,190,Mental health
910,190,Knowledge
911,190,Skills
912,190,Attitudes
913,190,Health care professionals Health care students Virtual reality Training Mental health Knowledge Skills Attitudes
914,191,Medicine
915,191,Health and Life Sciences
916,191,Health care professionals
917,191,Health care students
918,191,Virtual reality
919,191,Training
920,191,Mental health
921,191,Knowledge
922,191,Skills
923,191,Attitudes
924,191,Health care professionals Health care students Virtual reality Training Mental health Knowledge Skills Attitudes
925,192,Social Sciences
926,192,information literacy
927,192,interest development
928,192,source evaluation
929,192,source use
930,192,information seeking
931,192,higher education
932,192,information literacy interest development source evaluation source use information seeking higher education
933,193,Social Sciences
934,193,information literacy
935,193,interest development
936,193,source evaluation
937,193,source use
938,193,information seeking
939,193,higher education
940,193,information literacy interest development source evaluation source use information seeking higher education
941,194,Social Sciences
942,194,information literacy
943,194,interest development
944,194,source evaluation
945,194,source use
946,194,information seeking
947,194,higher education
948,194,information literacy interest development source evaluation source use information seeking higher education
949,195,Social Sciences
950,195,information literacy
951,195,interest development
952,195,source evaluation
953,195,source use
954,195,information seeking
955,195,higher education
956,195,information literacy interest development source evaluation source use information seeking higher education
957,196,Social Sciences
958,196,information literacy
959,196,interest development
960,196,source evaluation
